CellID,Center_X,Center_Y,Center_Z,MeanROIIntensity,MeanNeighborhoodIntensity,MetricValue,UserLabel,roiSeen,isDoublet
1,1693.78271604938,705.86049382716,4.88271604938272,843.723449707031,838.958312988281,1.00567984580994,0,0,0
2,1582.6095890411,884.203767123288,4.76369863013699,1005.85961914062,886.14111328125,1.13510096073151,1,1,0
3,1580.59069767442,903.896511627907,4.56279069767442,935.987182617188,877.236694335938,1.06697225570679,1,1,0
4,1546.53597650514,967.461086637298,3.93685756240822,869.861938476562,867.146240234375,1.00313174724579,0,0,0
5,1850.92857142857,982.611111111111,3.06349206349206,915.238098144531,895.309509277344,1.02225887775421,0,0,0
6,1745.52076677316,1016.12619808307,4.99680511182109,893.575073242188,863.581481933594,1.03473162651062,0,0,0
7,1204.28414580588,1058.93675889328,7.90162494510321,859.499328613281,844.94921875,1.01722013950348,0,0,0
8,1667.55585831063,1144.55858310627,4.02724795640327,857.313354492188,839.897033691406,1.02073621749878,0,0,0
9,1498.14979757085,1233.43724696356,3.50202429149798,910.214599609375,872.92919921875,1.04271292686462,0,0,0
10,1650.10028449502,1338.05903271693,5.68990042674253,894.273803710938,870.631713867188,1.02715504169464,0,0,0
11,1204.44957983193,1362.03921568627,4.68767507002801,902.054626464844,879.299987792969,1.02587807178497,0,0,0
12,1293.04568527919,1403.94923857868,3.76142131979695,849.898498535156,844.673400878906,1.00618588924408,0,0,0
13,1181.66384615385,1419.91384615385,6.60846153846154,862.360778808594,850.046630859375,1.0144864320755,0,0,0
14,1572.01515151515,728.424242424242,4,929,910.772705078125,1.02001297473907,0,0,0
15,1525.05479452055,747.767123287671,4,938.397277832031,883.571411132812,1.06205034255981,0,0,0
16,1720.73741007194,767.655395683453,7.77697841726619,855.641723632812,853.173767089844,1.00289273262024,0,0,0
17,1272.46478873239,800.647887323944,4,971.619689941406,989.172424316406,0.982255160808563,0,0,0
18,1621.95272727273,824.701818181818,4.48,930.661804199219,875.6689453125,1.06280100345612,0,0,0
19,1449.47470817121,845.326848249027,5.06225680933852,1055.29187011719,945.842102050781,1.11571669578552,1,1,0
20,1280.891966759,867.565096952909,5.00831024930748,1083.7119140625,940.970886230469,1.15169548988342,1,1,0
21,1293.27751196172,993.66985645933,6.52392344497608,871.418640136719,860.855346679688,1.01227068901062,0,0,0
22,1718.244,1051.864,6.071,871.421997070312,849.580688476562,1.02570831775665,0,0,0
23,1241.83333333333,1086.60416666667,4.47916666666667,986.166687011719,915.764709472656,1.07687783241272,0,0,0
24,1637.08455882353,1108.87867647059,4.54411764705882,846.919128417969,844.262512207031,1.00314664840698,0,0,0
25,1595.31304347826,1109.70434782609,4,837.539123535156,833.878051757812,1.00439035892487,0,0,0
26,1251.64680483592,1135.48100172712,6.04490500863558,867.852355957031,846.964660644531,1.02466177940369,0,0,0
27,1630.74528301887,1167.66037735849,4,844.584899902344,842.447387695312,1.0025372505188,0,0,0
28,1730.23544303797,1172.07594936709,5.08607594936709,855.440490722656,836.295288085938,1.02289283275604,0,0,0
29,1267.35480673935,1208.51040634291,7.13478691774034,849.63330078125,837.432556152344,1.01456928253174,0,0,0
30,1677.24550128535,1225.47172236504,5.40616966580977,861.91259765625,841.643371582031,1.02408289909363,0,0,0
31,1192.7619047619,1309.61904761905,6.45304232804233,877.068115234375,855.7646484375,1.02489411830902,0,0,0
32,1664.81395348837,1423.09302325581,4,858.023254394531,846.564086914062,1.0135360956192,0,0,0
33,1371.85401459854,1456.93430656934,4.39416058394161,772.350341796875,775,0.996581077575684,0,0,0
34,1492.11707317073,1513.3674796748,5.99024390243902,793.965881347656,789.369384765625,1.00582301616669,0,0,0
35,1378.93892045455,1554.29119318182,6.17897727272727,813.332397460938,812.646850585938,1.00084364414215,0,0,0
36,1159.39583333333,671.493055555556,5,883.131958007812,881.208312988281,1.00218296051025,0,0,0
37,1451.34631147541,709.118852459016,6.68237704918033,863.674194335938,869.612243652344,0.993171632289886,0,0,0
38,1122.25609756098,719.829268292683,5,902,910.257141113281,0.990928769111633,0,0,0
39,1572.44827586207,728.505747126437,5.20114942528736,921.07470703125,894.874328613281,1.02927827835083,0,1,0
40,1524.96,749.242352941176,6.94352941176471,893.385864257812,880.2802734375,1.01488792896271,0,0,0
41,1272.6626984127,801.218253968254,5.50793650793651,974.325378417969,915.196411132812,1.06460797786713,1,1,0
42,1404.65510597303,810.969171483622,6.39306358381503,1075.92297363281,960.183898925781,1.12053847312927,1,1,0
43,1232.97683397683,819.644787644788,5.94980694980695,956.359069824219,901.635864257812,1.06069326400757,0,0,0
44,948.171075837742,856.834215167548,5.85890652557319,1114.90649414062,983.455505371094,1.13366234302521,1,1,1
45,1551.14659685864,850.811518324607,5.90575916230366,990.895263671875,941.586547851562,1.05236768722534,0,0,0
46,1399.05325443787,908.009861932939,7.0138067061144,1037.96252441406,956.336547851562,1.08535277843475,1,1,0
47,1677.49425287356,923.67816091954,5,891.367797851562,880.411743164062,1.01244425773621,0,0,0
48,1672.09514563107,953.009708737864,6.53009708737864,907.6640625,860.944763183594,1.05426514148712,1,1,0
49,1850.85365853659,981.768292682927,5,873.5,870.538452148438,1.0034019947052,0,0,0
