,Threshold.1,Threshold.2,Threshold.3,Mean.1,Mean.2,Mean.3,Mean.4,Stddev.1,Stddev.2,Stddev.3,Stddev.4,Weight.1,Weight.2,Weight.3,Weight.4
Penk,0.814527349,2.974262355,NA,-0.23499409,1.78523407,3.62420502,NA,0.53547519,0.75136171,0.45763072,NA,0.58836711,0.27862354,0.13300935,NA
Calb1,1.576678322,4.020098008,NA,0.05739694,2.88981761,4.420539,NA,0.6407316,0.75916576,0.3524049,NA,0.70873997,0.22539109,0.06586894,NA
Lamp5,1.326594575,3.208631281,NA,0.18286797,2.20347942,3.63142167,NA,0.64259568,0.62435641,0.36530336,NA,0.5876604,0.31408737,0.09825223,NA
Rorb,0.983976843,3.327936096,NA,0.05408878,1.75675536,4.06054761,NA,0.60745294,0.79078583,0.46125759,NA,0.54459266,0.35410956,0.10129778,NA
Ccdc80,-0.0873702,0.861533503,NA,-0.50186738,0.33839405,1.26594807,NA,0.33177241,0.37278488,0.36810566,NA,0.37663598,0.37227037,0.25109365,NA
Pamr1,0.0532226,1.322613359,2.298497002,-0.38580941,0.68779846,1.78921232,2.56102721,0.38763093,0.46960628,0.38334779,0.27296314,0.23856579,0.37920921,0.26039536,0.12182964
Dkkl1,1.655387711,NA,NA,0.23582693,2.3159594,NA,NA,0.68566961,0.44270707,NA,NA,0.81266283,0.18733717,NA,NA
Slco2a1,0.343585173,NA,NA,-0.38961102,0.57351034,NA,NA,0.41961015,0.50157427,NA,NA,0.7761,0.2239,NA,NA
Fam84b,-0.520998806,0.887650514,NA,-0.64165929,-0.10287917,1.61342564,NA,0.16142045,0.46399812,0.39637521,NA,0.17275261,0.56361329,0.2636341,NA
Npnt,1.191376805,2.717889782,NA,0.11343437,1.66495905,3.09615338,NA,0.63649445,0.54821894,0.32159063,NA,0.7389082,0.2202848,0.040807,NA
Myl4,1.586820631,4.045856891,NA,0.26943551,2.895991,4.45584995,NA,0.74183002,0.69885449,0.44425753,NA,0.41523262,0.46729832,0.11746905,NA
Syt6,1.868204668,NA,NA,0.32476842,2.85547315,NA,NA,0.82937693,0.41863491,NA,NA,0.40961909,0.59038091,NA,NA
Ctgf,2.755376053,NA,NA,0.47794117,3.76183887,NA,NA,0.85661225,0.45821897,NA,NA,0.85165274,0.14834726,NA,NA
Slc32a1,1.694079801,NA,NA,-0.29347944,3.20616692,NA,NA,0.49593258,0.356923,NA,NA,0.35116321,0.64883679,NA,NA
Pvalb,0.44036983,2.466739785,NA,-0.30700417,0.92139819,3.85816103,NA,0.43776918,0.77258011,1.12828038,NA,0.58491002,0.29178322,0.12330676,NA
Sst,2.955403078,NA,NA,0.25725032,5.66279701,NA,NA,0.65780342,0.75871655,NA,NA,0.87020928,0.12979072,NA,NA
Vip,1.684819521,4.772349967,NA,-0.01324452,2.72310833,5.88609257,NA,0.57904783,1.36000021,0.43947433,NA,0.86763342,0.03701194,0.09535465,NA
